collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,41,7,34,0.23,0.29,0.22,0,0,0,0.0,0.0,0.0,0.024,0.14,0.0,0.32,0.29,0.32,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,31,3,28,0.17,0.13,0.18,0,0,0,0.0,0.0,0.0,0.065,0.0,0.071,0.45,0.67,0.43,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,30,0,30,0.17,0.0,0.19,0,0,0,0.0,0.0,0.0,0.033,0.0,0.033,0.30,0.0,0.30,1.0,0.0,1.0
CAVALRY SPV I LLC,11,1,10,0.061,0.042,0.065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.50,0.91,1.0,0.90
MIDLAND FUNDING LLC,9,0,9,0.050,0.0,0.058,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,6,0,6,0.034,0.0,0.039,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,6,3,3,0.034,0.13,0.019,0,0,0,0.0,0.0,0.0,0.17,0.0,0.33,0.33,0.67,0.0,1.0,1.0,1.0
WAKEFIELD & ASSOCIATES INC,5,1,4,0.028,0.042,0.026,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.25,1.0,1.0,1.0
JP MORGAN CHASE BANK NA,4,1,3,0.022,0.042,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,4,1,3,0.022,0.042,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.33,1.0,1.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,2,1,1,0.011,0.042,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BANK OF AMERICA NA,2,0,2,0.011,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CITIBANK NA,2,1,1,0.011,0.042,0.0065,0,0,0,0.0,0.0,0.0,0.50,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
CASH LINK USA,2,0,2,0.011,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC CHICAGO IL,2,0,2,0.011,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FARMERS PRODUCE EXCHANGE OF LEBANON,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
166 AUTO AUCTION,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CONSUMER ADJUSTMENT CO INC,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
OZARK CENTRAL AMBULANCE DISTRICT,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
UNITED AUTO CREDIT CORPORATION,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PORTFOLIO RECOVERY,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENT INC PETITIONER,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
DISCOVER BANK,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MM FINANCE LLC,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
1ST FINANCIAL BANK USA,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LESTER E COX MEDICAL CENTERS,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MSW CAPITAL LLC,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDITONE LLC,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BROOKWOOD LOANS OF MISSOURI LLC,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PCA ACQUISITIONS V LLC,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VELOCITY INVESTMENTS LLC,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CARDINAL LOANS,1,1,0,0.0056,0.042,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
THE UROLOGY GROUP,1,0,1,0.0056,0.0,0.0065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CASH LINK USA PETITIONER,1,1,0,0.0056,0.042,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NCB MANAGEMENT SERVICES INC,1,1,0,0.0056,0.042,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC PETITIONER,1,1,0,0.0056,0.042,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DYKE INDUSTRIES INC,1,1,0,0.0056,0.042,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
