collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
CONSUMER ADJUSTMENT COMPANY INC,188,26,162,55.5%,54.2%,55.7%,0,0,0,0.0%,0.0%,0.0%,1.6%,0.0%,1.9%,43.6%,26.9%,46.3%,94.7%,96.2%,94.4%
LVNV FUNDING LLC,30,6,24,8.8%,12.5%,8.2%,0,0,0,0.0%,0.0%,0.0%,3.3%,0.0%,4.2%,40.0%,50.0%,37.5%,100.0%,100.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,23,2,21,6.8%,4.2%,7.2%,0,0,0,0.0%,0.0%,0.0%,8.7%,0.0%,9.5%,8.7%,0.0%,9.5%,95.7%,100.0%,95.2%
MIDLAND CREDIT MANAGEMENT INC,20,4,16,5.9%,8.3%,5.5%,0,0,0,0.0%,0.0%,0.0%,15.0%,0.0%,18.8%,30.0%,50.0%,25.0%,95.0%,100.0%,93.8%
CAVALRY SPV I LLC,10,1,9,2.9%,2.1%,3.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,55.6%,100.0%,100.0%,100.0%
WAKEFIELD & ASSOCIATES INC,7,2,5,2.1%,4.2%,1.7%,0,0,0,0.0%,0.0%,0.0%,14.3%,50.0%,0.0%,14.3%,0.0%,20.0%,100.0%,100.0%,100.0%
MIDLAND FUNDING LLC,6,1,5,1.8%,2.1%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,40.0%,100.0%,100.0%,100.0%
CITIBANK NA,4,0,4,1.2%,0.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,25.0%,25.0%,0.0%,25.0%,100.0%,0.0%,100.0%
CAPITAL ONE BANK (USA) NA,3,0,3,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
PORTFOLIO RECOVERY ASSOC.,3,0,3,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
JEFFERSON CAPITAL SYSTEMS,3,0,3,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%
BANK OF AMERICA,3,0,3,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
