collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
POPLAR BLUFF REGIONAL MEDICAL CENTER,40,1,39,0.42,0.10,0.46,0,0,0,0.0,0.0,0.0,0.075,0.0,0.077,0.25,1.0,0.23,0.97,1.0,0.97
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,15,5,10,0.16,0.50,0.12,0,0,0,0.0,0.0,0.0,0.067,0.0,0.10,0.27,0.20,0.30,1.0,1.0,1.0
LVNV FUNDING LLC,10,2,8,0.11,0.20,0.094,0,0,0,0.0,0.0,0.0,0.10,0.0,0.13,0.50,0.50,0.50,0.90,1.0,0.88
CAVALRY SPV I LLC,5,0,5,0.053,0.0,0.059,0,0,0,0.0,0.0,0.0,0.40,0.0,0.40,0.20,0.0,0.20,0.80,0.0,0.80
MIDLAND CREDIT MANAGEMENT INC,5,1,4,0.053,0.10,0.047,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,1.0,0.50,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,4,0,4,0.042,0.0,0.047,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
JP MORGAN CHASE BANK NA,2,0,2,0.021,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,2,0,2,0.021,0.0,0.024,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.0,0.0,0.0,1.0,0.0,1.0
PORTFOLIO RECOVERY ASSOC.,2,0,2,0.021,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BANK OF AMERICA NA,2,0,2,0.021,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CREDIT BUREAU SERVICES,1,0,1,0.011,0.0,0.012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JH MET SUBSIDIARY B LIQUIDATING TRUST,1,0,1,0.011,0.0,0.012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PBRMCLLC D/B/A POPLAR BL. REG MED CNTR,1,0,1,0.011,0.0,0.012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CITIBANK NA,1,0,1,0.011,0.0,0.012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MIDLAND FUNDING,1,0,1,0.011,0.0,0.012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT CORP SOLUTIONS INC,1,0,1,0.011,0.0,0.012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,1,0,1,0.011,0.0,0.012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WHITE RIVER HEALTH SYSTEM INC,1,1,0,0.011,0.10,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
