collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,110,24,86,0.19,0.27,0.17,0,0,0,0.0,0.0,0.0,0.12,0.042,0.14,0.30,0.50,0.24,0.95,0.92,0.95
MIDLAND CREDIT MANAGEMENT INC,103,17,86,0.18,0.19,0.17,0,0,0,0.0,0.0,0.0,0.087,0.059,0.093,0.34,0.53,0.30,0.88,0.76,0.91
PORTFOLIO RECOVERY ASSOCIATES LLC,91,7,84,0.16,0.080,0.17,0,0,0,0.0,0.0,0.0,0.066,0.0,0.071,0.26,0.14,0.27,0.99,1.0,0.99
CAVALRY SPV 1 LLC,28,4,24,0.048,0.045,0.049,0,0,0,0.0,0.0,0.0,0.071,0.25,0.042,0.29,0.25,0.29,0.93,1.0,0.92
MIDLAND FUNDING LLC,23,1,22,0.040,0.011,0.045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.45,0.96,1.0,0.95
BANK OF AMERICA NA,19,1,18,0.033,0.011,0.037,0,0,0,0.0,0.0,0.0,0.16,0.0,0.17,0.37,1.0,0.33,1.0,1.0,1.0
CAPITAL ONE BANK USA NA,17,0,17,0.029,0.0,0.035,0,0,0,0.0,0.0,0.0,0.059,0.0,0.059,0.18,0.0,0.18,0.94,0.0,0.94
CITIBANK NA,16,3,13,0.028,0.034,0.026,0,0,0,0.0,0.0,0.0,0.31,0.67,0.23,0.13,0.0,0.15,0.94,1.0,0.92
ST LOUIS UNIVERSITY,10,0,10,0.017,0.0,0.020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.20,1.0,0.0,1.0
JP MORGAN CHASE BANK NA,10,3,7,0.017,0.034,0.014,0,0,0,0.0,0.0,0.0,0.30,0.33,0.29,0.20,0.33,0.14,0.70,0.67,0.71
JEFFERSON CAPITAL SYSTEMS,8,0,8,0.014,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
