collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midwestern health management inc,113,61,52,59.8%,59.8%,59.8%,0,0,0,0%,0%,0%,5.3%,1.6%,9.6%,40.7%,42.6%,38.5%,86.7%,75.4%,100.0%
lvnv funding llc,24,19,5,12.7%,18.6%,5.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,16.7%,15.8%,20.0%,75.0%,68.4%,100.0%
portfolio recovery associates llc,11,1,10,5.8%,1.0%,11.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,18.2%,100.0%,10.0%,90.9%,100.0%,90.0%
midland funding llc,7,2,5,3.7%,2.0%,5.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,57.1%,0.0%,80.0%,71.4%,0.0%,100.0%
harrison county community hospital,7,3,4,3.7%,2.9%,4.6%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,28.6%,0.0%,50.0%,71.4%,33.3%,100.0%
midland credit management inc-ia,4,2,2,2.1%,2.0%,2.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%
cavalry spv i llc,3,2,1,1.6%,2.0%,1.1%,0,0,0,0%,0%,0%,33.3%,50.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
midland credit manag,3,3,0,1.6%,2.9%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
mm finance llc,2,0,2,1.1%,0.0%,2.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
jpmorgan chase bank - chicago il,2,2,0,1.1%,2.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
citibank na,2,2,0,1.1%,2.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
kirksville missouri hospital company llc,1,0,1,0.5%,0.0%,1.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
midwestern health management inc petitioner,1,0,1,0.5%,0.0%,1.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
midland credit management inc,1,0,1,0.5%,0.0%,1.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
credit bureau of columbia inc,1,0,1,0.5%,0.0%,1.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
mercury surgery center llc,1,0,1,0.5%,0.0%,1.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
clear recovery inc,1,0,1,0.5%,0.0%,1.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cavalry spv i llc - st louis,1,1,0,0.5%,1.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
hcch med group,1,1,0,0.5%,1.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
novus ag llc,1,1,0,0.5%,1.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
gfg inland elevator & grain llc,1,1,0,0.5%,1.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
jhpde finance i llc,1,1,0,0.5%,1.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
