collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,102,71,31,0.14,0.17,0.10,65688,50088,15600,0.034,0.068,0.013,0.049,0.070,0.0,0.0,0.0,0.0,0.60,0.52,0.77
MIDLAND CREDIT MANAGEMENT INC,101,56,45,0.14,0.13,0.15,122539,27422,95118,0.063,0.037,0.079,0.069,0.054,0.089,0.0,0.0,0.0,0.63,0.41,0.91
PORTFOLIO RECOVERY ASSOCIATES LLC,71,31,40,0.097,0.072,0.13,64619,22587,42032,0.033,0.031,0.035,0.014,0.032,0.0,0.0,0.0,0.0,0.62,0.32,0.85
CAPITAL ONE BANK (USA) NA,45,33,12,0.061,0.077,0.040,88489,53411,35078,0.046,0.073,0.029,0.022,0.030,0.0,0.0,0.0,0.0,0.73,0.64,1.0
DISCOVER BANK,43,33,10,0.059,0.077,0.033,231926,177281,54645,0.12,0.24,0.045,0.16,0.15,0.20,0.0,0.0,0.0,0.70,0.67,0.80
JEFFERSON CAPITAL SYSTEMS LLC,33,13,20,0.045,0.030,0.066,65931,11657,54274,0.034,0.016,0.045,0.030,0.077,0.0,0.0,0.0,0.0,0.61,0.23,0.85
ONEMAIN FINANCIAL GROUP LLC,28,16,12,0.038,0.037,0.040,174043,65430,108613,0.090,0.089,0.090,0.071,0.13,0.0,0.0,0.0,0.0,0.64,0.44,0.92
CITIBANK NA,21,11,10,0.029,0.026,0.033,58225,23180,35046,0.030,0.032,0.029,0.19,0.0,0.40,0.0,0.0,0.0,0.86,0.73,1.0
CROWN ASSET MANAGEMENT LLC,17,9,8,0.023,0.021,0.026,12272,3392,8881,0.0063,0.0046,0.0074,0.18,0.22,0.13,0.0,0.0,0.0,0.71,0.44,1.0
CAVALRY SPV I LLC,15,8,7,0.020,0.019,0.023,36941,20643,16298,0.019,0.028,0.014,0.13,0.0,0.29,0.0,0.0,0.0,0.73,0.50,1.0
MARINER FINANCE LLC,13,8,5,0.018,0.019,0.017,34581,7310,27271,0.018,0.010,0.023,0.077,0.0,0.20,0.0,0.0,0.0,0.62,0.38,1.0
SYNCHRONY BANK,13,12,1,0.018,0.028,0.0033,9001,9001,0,0.0046,0.012,0.0,0.31,0.33,0.0,0.0,0.0,0.0,0.46,0.42,1.0
TD BANK USA NA,11,9,2,0.015,0.021,0.0066,20687,18010,2677,0.011,0.025,0.0022,0.091,0.0,0.50,0.0,0.0,0.0,0.73,0.67,1.0
MIDLAND FUNDING LLC,10,1,9,0.014,0.0023,0.030,11847,0,11847,0.0061,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SECOND ROUND SUB LLC,10,6,4,0.014,0.014,0.013,18651,8316,10335,0.0096,0.011,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.90,0.83,1.0
BANK OF AMERICA NA,10,1,9,0.014,0.0023,0.030,57948,0,57948,0.030,0.0,0.048,0.30,0.0,0.33,0.0,0.0,0.0,0.90,0.0,1.0
NORTON HOSPITALS INC,9,7,2,0.012,0.016,0.0066,13661,11623,2037,0.0071,0.016,0.0017,0.22,0.29,0.0,0.0,0.0,0.0,0.78,0.71,1.0
UNIFUND CCR LLC,9,1,8,0.012,0.0023,0.026,6705,0,6705,0.0035,0.0,0.0056,0.11,0.0,0.13,0.0,0.0,0.0,0.89,0.0,1.0
SERVICE FINANCIAL COMPANY,9,6,3,0.012,0.014,0.0099,20264,9673,10591,0.010,0.013,0.0088,0.22,0.17,0.33,0.0,0.0,0.0,0.33,0.17,0.67
REPUBLIC BANK,6,4,2,0.0082,0.0093,0.0066,1356,0,1356,0.00070,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.25,0.50
FORD MOTOR CREDIT COMPANY LLC,6,5,1,0.0082,0.012,0.0033,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.40,1.0
NORTON HOSPITALS INC & COMMUNITY MEDICAL ASSOCIATES INC.,5,3,2,0.0068,0.0070,0.0066,7477,6556,921,0.0039,0.0090,0.00076,0.20,0.33,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENTINC,5,1,4,0.0068,0.0023,0.013,2355,0,2355,0.0012,0.0,0.0020,0.0,0.0,0.0,0.0,0.0,0.0,0.80,1.0,0.75
GOLDMAN SACHS BANK USA,5,5,0,0.0068,0.012,0.0,11835,11835,0,0.0061,0.016,0.0,0.40,0.40,0.0,0.0,0.0,0.0,0.60,0.60,0.0
PARK COMMUNITY CREDIT UNION,4,2,2,0.0055,0.0047,0.0066,47750,32904,14846,0.025,0.045,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
VELOCITY INVESTMENTS LLC,4,3,1,0.0055,0.0070,0.0033,4312,4312,0,0.0022,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ADLP INVESTMENTS LLC SERIES 1,4,1,3,0.0055,0.0023,0.0099,14624,2313,12312,0.0075,0.0032,0.010,0.25,0.0,0.33,0.0,0.0,0.0,1.0,1.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,4,2,2,0.0055,0.0047,0.0066,11844,7679,4165,0.0061,0.010,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
PCA ACQUISITIONS V LLC,3,2,1,0.0041,0.0047,0.0033,3454,0,3454,0.0018,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
RENT TO OWN RENTALS LLC,3,2,1,0.0041,0.0047,0.0033,3757,3757,0,0.0019,0.0051,0.0,0.33,0.50,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,1,2,0.0041,0.0023,0.0066,11911,0,11911,0.0061,0.0,0.0099,0.33,1.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0
CAVALRY SPV ILLC,3,0,3,0.0041,0.0,0.0099,4202,0,4202,0.0022,0.0,0.0035,0.33,0.0,0.33,0.0,0.0,0.0,0.67,0.0,0.67
