collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,596,115,481,17.0%,18.2%,16.8%,0,0,0,0.0%,0.0%,0.0%,6.2%,7.0%,6.0%,31.7%,27.0%,32.8%,73.5%,57.4%,77.3%
MIDLAND CREDIT MANAGEMENT INC,421,55,366,12.0%,8.7%,12.7%,0,0,0,0.0%,0.0%,0.0%,3.6%,3.6%,3.6%,16.6%,9.1%,17.8%,59.6%,41.8%,62.3%
PORTFOLIO RECOVERY ASSOCIATES LLC,317,29,288,9.0%,4.6%,10.0%,0,0,0,0.0%,0.0%,0.0%,6.9%,10.3%,6.6%,20.5%,13.8%,21.2%,95.0%,96.6%,94.8%
MSD,264,46,218,7.5%,7.3%,7.6%,0,0,0,0.0%,0.0%,0.0%,0.8%,0.0%,0.9%,37.1%,39.1%,36.7%,100.0%,100.0%,100.0%
METROPOLITAN ST LOUIS SEWER DISTRICT,248,157,91,7.1%,24.8%,3.2%,0,0,0,0.0%,0.0%,0.0%,1.6%,1.3%,2.2%,38.3%,37.6%,39.6%,92.3%,90.4%,95.6%
ST LOUIS UNIVERSITY,197,13,184,5.6%,2.1%,6.4%,0,0,0,0.0%,0.0%,0.0%,3.6%,7.7%,3.3%,36.5%,15.4%,38.0%,95.9%,69.2%,97.8%
MIDLAND FUNDING LLC,152,10,142,4.3%,1.6%,4.9%,0,0,0,0.0%,0.0%,0.0%,2.6%,10.0%,2.1%,21.7%,40.0%,20.4%,79.6%,70.0%,80.3%
CAVALRY SPV I LLC,152,23,129,4.3%,3.6%,4.5%,0,0,0,0.0%,0.0%,0.0%,11.2%,13.0%,10.9%,15.1%,8.7%,16.3%,76.3%,39.1%,82.9%
PORTFOLIO RECOVERY ASSOCATES LLC,92,0,92,2.6%,0.0%,3.2%,0,0,0,0.0%,0.0%,0.0%,3.3%,0.0%,3.3%,21.7%,0.0%,21.7%,100.0%,0.0%,100.0%
CAPITAL ONE BANK USA NA,67,13,54,1.9%,2.1%,1.9%,0,0,0,0.0%,0.0%,0.0%,11.9%,23.1%,9.3%,20.9%,7.7%,24.1%,83.6%,53.8%,90.7%
