collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,26,9,17,14.4%,27.3%,11.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,38.5%,44.4%,35.3%,100.0%,100.0%,100.0%
midland credit management inc,25,2,23,13.8%,6.1%,15.5%,0,0,0,0%,0%,0%,4.0%,0.0%,4.3%,44.0%,100.0%,39.1%,100.0%,100.0%,100.0%
portfolio recovery associates llc,18,4,14,9.9%,12.1%,9.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,25.0%,35.7%,100.0%,100.0%,100.0%
midland funding llc,11,0,11,6.1%,0.0%,7.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,36.4%,0%,36.4%,100.0%,0%,100.0%
jefferson capital systems llc,10,1,9,5.5%,3.0%,6.1%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,30.0%,0.0%,33.3%,100.0%,100.0%,100.0%
lvnv funding,9,3,6,5.0%,9.1%,4.1%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,66.7%,16.7%,100.0%,100.0%,100.0%
southeast missouri hospital association,8,3,5,4.4%,9.1%,3.4%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,62.5%,33.3%,80.0%,100.0%,100.0%,100.0%
kennett hma llc,7,0,7,3.9%,0.0%,4.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,14.3%,0%,14.3%,100.0%,0%,100.0%
cavalry spv i llc,6,1,5,3.3%,3.0%,3.4%,0,0,0,0%,0%,0%,33.3%,100.0%,20.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
citibank na,6,1,5,3.3%,3.0%,3.4%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,16.7%,0.0%,20.0%,100.0%,100.0%,100.0%
dyersburg hospital corporation,5,0,5,2.8%,0.0%,3.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,40.0%,0%,40.0%,100.0%,0%,100.0%
poplar bluff regional medical c0enter,4,1,3,2.2%,3.0%,2.0%,0,0,0,0%,0%,0%,25.0%,0.0%,33.3%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
capital one bank,3,0,3,1.7%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
absolute resolutions investments llc,3,1,2,1.7%,3.0%,1.4%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%,100.0%,100.0%,100.0%
credit bureau of columbia inc,3,0,3,1.7%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
bank of america,3,1,2,1.7%,3.0%,1.4%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
poplar bluff regional medical center,2,0,2,1.1%,0.0%,1.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
credit bureau services llc aao crgi llc,2,0,2,1.1%,0.0%,1.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
midland credit management,2,0,2,1.1%,0.0%,1.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
southeast hospital,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
wakefield & associates inc,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cleveland tennessee hospital company llc,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
the bank of missouri,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
second round su b llc,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
td bank usa na,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
barclays bank delaware,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cbs a/a/o pemiscot memorial health systems d/b/a pemiscot m,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
credit bureau services llc as assignee of cape radiology,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
absolute resolutions corporation,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
world acceptance corp,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cbs llc a/a/o pemiscot memorial health systems,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cash link usa,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
credit bureau services llc,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jhpde finance i llc,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
ncb management services inc,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
crown asset man agement llc,1,0,1,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
