collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,716,469,247,16.3%,20.0%,12.0%,0,0,0,0.0%,0%,0.0%,2.9%,1.9%,4.9%,30.2%,26.2%,37.7%,70.7%,55.7%,99.2%
midland credit management inc,506,245,261,11.5%,10.5%,12.7%,0,0,0,0.0%,0%,0.0%,3.6%,3.3%,3.8%,34.2%,24.1%,43.7%,77.1%,54.7%,98.1%
wakefield & associates inc,442,178,264,10.0%,7.6%,12.8%,0,0,0,0.0%,0%,0.0%,3.2%,2.8%,3.4%,31.2%,23.6%,36.4%,80.8%,53.4%,99.2%
portfolio recovery associates llc,397,189,208,9.0%,8.1%,10.1%,0,0,0,0.0%,0%,0.0%,4.3%,4.2%,4.3%,21.7%,20.1%,23.1%,77.8%,54.5%,99.0%
cavalry spv i llc,204,97,107,4.6%,4.1%,5.2%,0,0,0,0.0%,0%,0.0%,8.8%,4.1%,13.1%,28.4%,20.6%,35.5%,78.4%,56.7%,98.1%
clear recovery inc,155,85,70,3.5%,3.6%,3.4%,0,0,0,0.0%,0%,0.0%,1.3%,0.0%,2.9%,38.1%,37.6%,38.6%,79.4%,62.4%,100.0%
capital one bank (usa) na,144,92,52,3.3%,3.9%,2.5%,0,0,0,0.0%,0%,0.0%,2.8%,2.2%,3.8%,21.5%,23.9%,17.3%,73.6%,59.8%,98.1%
bank of america na,131,59,72,3.0%,2.5%,3.5%,0,0,0,0.0%,0%,0.0%,8.4%,3.4%,12.5%,30.5%,28.8%,31.9%,84.7%,66.1%,100.0%
midland funding llc,110,17,93,2.5%,0.7%,4.5%,0,0,0,0.0%,0%,0.0%,2.7%,0.0%,3.2%,32.7%,17.6%,35.5%,93.6%,58.8%,100.0%
the board of trustees of nkc hospital,100,71,29,2.3%,3.0%,1.4%,0,0,0,0.0%,0%,0.0%,2.0%,1.4%,3.4%,37.0%,29.6%,55.2%,68.0%,54.9%,100.0%
jefferson capital systems llc,89,62,27,2.0%,2.6%,1.3%,0,0,0,0.0%,0%,0.0%,4.5%,6.5%,0.0%,46.1%,46.8%,44.4%,80.9%,74.2%,96.3%
