collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,28,6,22,0.19,0.29,0.17,0,0,0,0.0,0.0,0.0,0.071,0.0,0.091,0.36,0.67,0.27,0.82,0.67,0.86
MIDLAND CREDIT MANAGEMENT INC,23,7,16,0.15,0.33,0.13,0,0,0,0.0,0.0,0.0,0.087,0.0,0.13,0.48,0.57,0.44,0.87,0.86,0.88
PORTFOLIO RECOVERY ASSOCIATES LLC,12,0,12,0.081,0.0,0.094,0,0,0,0.0,0.0,0.0,0.083,0.0,0.083,0.42,0.0,0.42,1.0,0.0,1.0
CAVALRY SPV I LLC,10,1,9,0.067,0.048,0.070,0,0,0,0.0,0.0,0.0,0.10,0.0,0.11,0.60,0.0,0.67,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOC LLC,8,0,8,0.054,0.0,0.063,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
BANK OF AMERICA NA,7,1,6,0.047,0.048,0.047,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.0,0.67,1.0,1.0,1.0
CARDINAL LOANS LLC,6,3,3,0.040,0.14,0.023,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.67,1.0,0.83,0.67,1.0
CLEAR RECOVERY INC,6,0,6,0.040,0.0,0.047,0,0,0,0.0,0.0,0.0,0.17,0.0,0.17,0.50,0.0,0.50,1.0,0.0,1.0
CITIBANK NA,5,0,5,0.034,0.0,0.039,0,0,0,0.0,0.0,0.0,0.40,0.0,0.40,0.40,0.0,0.40,1.0,0.0,1.0
MIDLAND FUNDING LLC,4,0,4,0.027,0.0,0.031,0,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.75,0.0,0.75
HEALTH CARE ASSOCIATED EMERGENCY PHYSICIANS LLC,4,0,4,0.027,0.0,0.031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
ELECTRIC CITY EMERGENCY PHYSICIANS LLC,3,0,3,0.020,0.0,0.023,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,2,0,2,0.013,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50
ACE PROPERTY AND CASUALTY INSURANCE COMPANY,2,0,2,0.013,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CASS REGIONAL MEDICAL CENTER,2,0,2,0.013,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
SECOND ROUND SUB LLC,2,0,2,0.013,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
ONEMAIN FINANCIAL GROUP LLC,2,0,2,0.013,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ONEMAIN FINANCIAL SERVICES LLC,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KIRKSVILLE MISSOURI HOSPTIAL COMPANY LLC DBA NORTHEAST,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VELOCITY INVESTMENTS LLC,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
BOURLAND JAMES LDDS,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
HARRISONVILLE ELECTRIC LLC,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TOWER LOAN OF ROCK ISLAND,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
UNION PACIFIC RAILROAD,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VIEW HIGH LAKE APARTMENTS LLC,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
FRIEDRICH LAW OFFICE PC PETITIONER,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CENTRAL METHODIST UNIVERSITY,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BUREAUS INVESTMENT GROUP,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MIDLAND FUNDING LLC PETITIONER,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS CORPORATION,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FREEMAN HEALTH SYSTEMS,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
JP MORGAN CHASE BANK NA,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CITIBANK,1,0,1,0.0067,0.0,0.0078,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
NATIONAL COLLEGIATE STUDENT LOAN TRUST 2007-4,1,1,0,0.0067,0.048,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JH MET SUBSIDIARY B LIQUIDATING TRUST,1,1,0,0.0067,0.048,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TD BANK USA NA,1,1,0,0.0067,0.048,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
