collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,49,31,18,0.20,0.22,0.17,0,0,0,0.0,0.0,0.0,0.041,0.0,0.11,0.31,0.26,0.39,0.84,0.74,1.0
WAKEFIELD & ASSOCIATES INC,48,33,15,0.20,0.24,0.14,0,0,0,0.0,0.0,0.0,0.021,0.0,0.067,0.21,0.24,0.13,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,29,10,19,0.12,0.072,0.18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.20,0.47,0.93,0.90,0.95
PORTFOLIO RECOVERY ASSOCIATES LLC,28,12,16,0.11,0.087,0.15,0,0,0,0.0,0.0,0.0,0.14,0.17,0.13,0.36,0.42,0.31,1.0,1.0,1.0
CAPITAL ONE BANK (USA) NA,12,10,2,0.049,0.072,0.019,0,0,0,0.0,0.0,0.0,0.083,0.10,0.0,0.17,0.10,0.50,0.83,0.80,1.0
MIDLAND FUNDING LLC,6,2,4,0.024,0.014,0.037,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.75,1.0,1.0,1.0
CAVALRY SPV I LLC,6,2,4,0.024,0.014,0.037,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.50,0.0,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,4,3,1,0.016,0.022,0.0093,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.67,0.0,0.75,1.0,0.0
SECOND ROUND SUB LLC,3,0,3,0.012,0.0,0.028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,3,2,1,0.012,0.014,0.0093,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
