collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,14,9,5,9.9%,11.8%,7.7%,2658,2658,0,1.8%,3.6%,0.0%,14.3%,0.0%,40.0%,0.0%,0.0%,0.0%,14.3%,11.1%,20.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,12,5,7,8.5%,6.6%,10.8%,7399,0,7399,5.1%,0.0%,10.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.3%,0.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,10,7,3,7.1%,9.2%,4.6%,2816,1887,930,2.0%,2.6%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.0%,28.6%,33.3%
JEFFERSON CAPITAL SYSTEMS LLC,9,2,7,6.4%,2.6%,10.8%,3234,991,2243,2.2%,1.4%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,50.0%,28.6%
DISCOVER BANK,9,6,3,6.4%,7.9%,4.6%,0,0,0,0.0%,0.0%,0.0%,11.1%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CAPITAL ONE BANK (USA) NA,8,4,4,5.7%,5.3%,6.2%,17907,3792,14115,12.4%,5.2%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,50.0%,25.0%
ONE ADVANTAGE LLC,6,3,3,4.3%,3.9%,4.6%,1389,0,1389,1.0%,0.0%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,66.7%
UNIFUND CCR LLC,5,1,4,3.5%,1.3%,6.2%,5425,0,5425,3.8%,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,25.0%
CITIBANK NA,5,2,3,3.5%,2.6%,4.6%,11731,0,11731,8.1%,0.0%,16.6%,20.0%,50.0%,0.0%,0.0%,0.0%,0.0%,60.0%,50.0%,66.7%
ONEMAIN FINANCIAL GROUP LLC,4,3,1,2.8%,3.9%,1.5%,13851,13851,0,9.6%,18.9%,0.0%,25.0%,33.3%,0.0%,0.0%,0.0%,0.0%,75.0%,100.0%,0.0%
SAC FINANCE INC,4,3,1,2.8%,3.9%,1.5%,3487,0,3487,2.4%,0.0%,4.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,100.0%
TD BANK USA NA,3,2,1,2.1%,2.6%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,50.0%,0.0%
AUTOVEST LLC OF INDIANA,3,3,0,2.1%,3.9%,0.0%,15719,15719,0,10.9%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
TRIHEALTH INC,2,1,1,1.4%,1.3%,1.5%,1389,0,1389,1.0%,0.0%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
MARINER FINANCE LLC,2,1,1,1.4%,1.3%,1.5%,2639,0,2639,1.8%,0.0%,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
MIDLAND FUNDING LLC,2,0,2,1.4%,0.0%,3.1%,2702,0,2702,1.9%,0.0%,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%
CAVALRY SPV I LLC,2,1,1,1.4%,1.3%,1.5%,4213,0,4213,2.9%,0.0%,6.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CREDIT CORP SOLUTIONS INC,2,1,1,1.4%,1.3%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CROWN ASSET MANAGEMENT LLC,2,1,1,1.4%,1.3%,1.5%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
SECOND ROUND SUB LLC,2,1,1,1.4%,1.3%,1.5%,1604,0,1604,1.1%,0.0%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
VELOCITY INVESTMENTS LLC ASSIGNEE OF PROSPER FUNDING LLC ASSIGNEE OF WEBBANK,2,2,0,1.4%,2.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
DNF ASSOCIATES LLC,2,2,0,1.4%,2.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CREDITMAX INC,1,0,1,0.7%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
