collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,596,115,481,0.17,0.18,0.17,0,0,0,0.0,0.0,0.0,0.062,0.070,0.060,0.32,0.27,0.33,0.73,0.57,0.77
MIDLAND CREDIT MANAGEMENT INC,421,55,366,0.12,0.087,0.13,0,0,0,0.0,0.0,0.0,0.036,0.036,0.036,0.17,0.091,0.18,0.60,0.42,0.62
PORTFOLIO RECOVERY ASSOCIATES LLC,317,29,288,0.090,0.046,0.10,0,0,0,0.0,0.0,0.0,0.069,0.10,0.066,0.21,0.14,0.21,0.95,0.97,0.95
MSD,264,46,218,0.075,0.073,0.076,0,0,0,0.0,0.0,0.0,0.0076,0.0,0.0092,0.37,0.39,0.37,1.0,1.0,1.0
METROPOLITAN ST LOUIS SEWER DISTRICT,248,157,91,0.071,0.25,0.032,0,0,0,0.0,0.0,0.0,0.016,0.013,0.022,0.38,0.38,0.40,0.92,0.90,0.96
ST LOUIS UNIVERSITY,197,13,184,0.056,0.021,0.064,0,0,0,0.0,0.0,0.0,0.036,0.077,0.033,0.37,0.15,0.38,0.96,0.69,0.98
MIDLAND FUNDING LLC,152,10,142,0.043,0.016,0.049,0,0,0,0.0,0.0,0.0,0.026,0.10,0.021,0.22,0.40,0.20,0.80,0.70,0.80
CAVALRY SPV I LLC,152,23,129,0.043,0.036,0.045,0,0,0,0.0,0.0,0.0,0.11,0.13,0.11,0.15,0.087,0.16,0.76,0.39,0.83
PORTFOLIO RECOVERY ASSOCATES LLC,92,0,92,0.026,0.0,0.032,0,0,0,0.0,0.0,0.0,0.033,0.0,0.033,0.22,0.0,0.22,1.0,0.0,1.0
CAPITAL ONE BANK USA NA,67,13,54,0.019,0.021,0.019,0,0,0,0.0,0.0,0.0,0.12,0.23,0.093,0.21,0.077,0.24,0.84,0.54,0.91
BANK OF AMERICA N A,62,2,60,0.018,0.0032,0.021,0,0,0,0.0,0.0,0.0,0.13,0.0,0.13,0.16,0.0,0.17,0.82,0.50,0.83
JEFFERSON CAPITAL SYSTEMS LLC,53,13,40,0.015,0.021,0.014,0,0,0,0.0,0.0,0.0,0.057,0.0,0.075,0.36,0.38,0.35,0.72,0.62,0.75
CITIBANK NA,46,10,36,0.013,0.016,0.013,0,0,0,0.0,0.0,0.0,0.15,0.10,0.17,0.17,0.30,0.14,0.85,0.80,0.86
SAINT LOUIS UNIVERSITY,45,3,42,0.013,0.0047,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.50,0.96,0.33,1.0
CASH LINK USA LLC,44,9,35,0.013,0.014,0.012,0,0,0,0.0,0.0,0.0,0.068,0.11,0.057,0.48,0.33,0.51,0.91,0.56,1.0
JP MORGAN CHASE BANK NA,39,12,27,0.011,0.019,0.0094,0,0,0,0.0,0.0,0.0,0.077,0.0,0.11,0.13,0.17,0.11,0.67,0.67,0.67
WASHINGTON UNIVERSITY PHYSICIAN NETWORK,36,2,34,0.010,0.0032,0.012,0,0,0,0.0,0.0,0.0,0.028,0.0,0.029,0.56,0.0,0.59,1.0,1.0,1.0
DISCOVER BANK,33,19,14,0.0094,0.030,0.0049,0,0,0,0.0,0.0,0.0,0.091,0.11,0.071,0.30,0.26,0.36,0.70,0.63,0.79
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,31,7,24,0.0088,0.011,0.0084,0,0,0,0.0,0.0,0.0,0.13,0.0,0.17,0.13,0.0,0.17,0.65,0.29,0.75
BANK OF AMERICA NA,30,4,26,0.0086,0.0063,0.0091,0,0,0,0.0,0.0,0.0,0.10,0.0,0.12,0.27,0.25,0.27,0.63,0.75,0.62
ONEMAIN FINANCIAL GROUP LLC,29,2,27,0.0083,0.0032,0.0094,0,0,0,0.0,0.0,0.0,0.034,0.0,0.037,0.24,0.50,0.22,1.0,1.0,1.0
BANK OF AMERICA,23,4,19,0.0066,0.0063,0.0066,0,0,0,0.0,0.0,0.0,0.13,0.50,0.053,0.043,0.0,0.053,0.87,1.0,0.84
VELOCITY INVESTMENTS LLC,21,2,19,0.0060,0.0032,0.0066,0,0,0,0.0,0.0,0.0,0.048,0.0,0.053,0.29,0.0,0.32,0.76,1.0,0.74
