collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,81,16,65,0.18,0.21,0.18,0,0,0,0.0,0.0,0.0,0.037,0.063,0.031,0.40,0.25,0.43,0.94,0.69,1.0
WAKEFIELD & ASSOCIATES INC,80,13,67,0.18,0.17,0.18,0,0,0,0.0,0.0,0.0,0.013,0.0,0.015,0.33,0.31,0.33,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,52,11,41,0.12,0.15,0.11,0,0,0,0.0,0.0,0.0,0.096,0.0,0.12,0.44,0.27,0.49,0.90,0.64,0.98
PORTFOLIO RECOVERY ASSOCIATES LLC,40,4,36,0.091,0.053,0.099,0,0,0,0.0,0.0,0.0,0.025,0.0,0.028,0.45,0.25,0.47,0.97,1.0,0.97
MIDLAND FUNDING LLC,30,0,30,0.068,0.0,0.082,0,0,0,0.0,0.0,0.0,0.10,0.0,0.10,0.53,0.0,0.53,1.0,0.0,1.0
PHELPS HEALTH FKA PHELPS COUNTY REGIONAL MEDICAL CENTER,24,1,23,0.055,0.013,0.063,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.57,1.0,1.0,1.0
PHELPS HEALTH,21,0,21,0.048,0.0,0.058,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
PHELPS COUNTY REGIONAL MEDICAL CENTER,13,12,1,0.030,0.16,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.50,1.0,1.0,1.0,1.0
CAVALRY SPV I LLC,11,1,10,0.025,0.013,0.027,0,0,0,0.0,0.0,0.0,0.091,0.0,0.10,0.36,0.0,0.40,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,8,2,6,0.018,0.027,0.016,0,0,0,0.0,0.0,0.0,0.13,0.0,0.17,0.25,0.50,0.17,0.88,1.0,0.83
J P MORGAN CHASE BANK,6,3,3,0.014,0.040,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.83,0.67,1.0
ONEMAIN FINANCIAL GROUP LLC,5,1,4,0.011,0.013,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.25,0.80,0.0,1.0
CAPITAL REGION MEDICAL CENTER,5,0,5,0.011,0.0,0.014,0,0,0,0.0,0.0,0.0,0.20,0.0,0.20,0.40,0.0,0.40,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,0,3,0.0068,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,3,1,2,0.0068,0.013,0.0055,0,0,0,0.0,0.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0
CITIBANK NA,3,0,3,0.0068,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.67,0.0,0.67,0.0,0.0,0.0,1.0,0.0,1.0
PHELPS HEALTH FKA PHELPS COUNTY REGIONAL MEDICAL CENTER PETITIONER,3,3,0,0.0068,0.040,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CAVALRY SPV ILLC,2,0,2,0.0045,0.0,0.0055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,2,1,1,0.0045,0.013,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,1.0,1.0,1.0
ONE MAIN FINANCIAL GROUP LLC,2,0,2,0.0045,0.0,0.0055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MARIES OSAGE AMBULANCE DISTRICT,2,0,2,0.0045,0.0,0.0055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
BANK OF AMERICA NA,2,0,2,0.0045,0.0,0.0055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
OSAGE AMBULANCE DISTRICT,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JP MORGAN CHASE BANK NA,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DOTEC CORP,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WEBCOLLEX LLC DBA CKS FINANCIAL,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MM FINANCE LLC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITAL ONE BANK USA NA - ST LOUIS,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PYOD LLC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON BANK OF MISSOURI,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
OZARK CENTRAL AMBULANCE DISTRIC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CDL TRAINING SERVICE OF MISSOURI LLC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WAKEFIELD & ASSOCIATES INC PETITIONER,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MFA INCORPORATED,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MADISON MEDICAL CENTER,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT BUREAU SERVICES,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ONEMAIN FINANCIAL INC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
TRUSTEES OF BOSTON UNIVERSITY,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WASHINGTON UNIVERSITY PHYSICIAN NETWORK,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CACH LLC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
INVESTMENT REALTY INC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK USA LLC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITAL ONE BANK,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITOL ONE BANK (USA) NA,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CROWN ASSET MANAGEMENT LLC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PHELPS CO REG MED CNTR DBA PHELPS HEALTH,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENT INC A CORPORATION,1,1,0,0.0023,0.013,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
VELOCITY INVESTMENT LLC ASSIGNEE OF BANK OF AMERICA VISA/MC,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KENAGY REED BROOKSIII,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
HEIGHTS FINANCE CORPORATION,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBS LLC AAOPMHS,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
SAINT LOUIS UNIVERSITY DBA SLUCARE,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JP MORGAN CHASE BANK,1,0,1,0.0023,0.0,0.0027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
