collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,8,4,4,0.13,0.21,0.098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.75,0.50,1.0
WAKEFIELD & ASSOCIATES INC,7,0,7,0.12,0.0,0.17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,1.0,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,6,2,4,0.10,0.11,0.098,0,0,0,0.0,0.0,0.0,0.33,0.0,0.50,0.17,0.50,0.0,1.0,1.0,1.0
PRAIRIELAND FS INC,5,2,3,0.083,0.11,0.073,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.33,1.0,1.0,1.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC,3,1,2,0.050,0.053,0.049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,3,1,2,0.050,0.053,0.049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50,0.67,0.0,1.0
KIRKSVILLE MISSOURI HOSPITAL CO LLC,3,0,3,0.050,0.0,0.073,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,3,3,0,0.050,0.16,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,1.0,1.0,0.0
WAKEFIELD &ASSOCIATE INC,2,0,2,0.033,0.0,0.049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CITIBANK NA,2,1,1,0.033,0.053,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
NORTHEAST REGIONAL MEDICAL CENTER,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
HANNIBAL CLINIC OPERATIONS LLC,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CURL HARK & HOLLIDAY LLC,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MEEK LUMBER YARD DBA MEEKS BUILDING CENTER,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
KMHC LLC D/B/A NRMC,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BANK OF AMERICA NA,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VELOCITY INVESTMENTS LLC,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCCESS BANK,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SECOND ROUND SUB LLC,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MFA OIL COMPANY,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND FUNDING LLC,1,0,1,0.017,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
EASY CASH ASAP LLC,1,1,0,0.017,0.053,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CAPITAL ONE NA,1,1,0,0.017,0.053,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
JPMORGAN CHASE BANK NA,1,1,0,0.017,0.053,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CACH LLC,1,1,0,0.017,0.053,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
KIRKSVILLE MISSOURI HOSPITAL CO LLC D/B/A NE REGIONAL MED,1,1,0,0.017,0.053,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
