collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
CAPITAL REGION MEDICAL CENTER,53,6,47,0.27,0.081,0.39,0,0,0,0.0,0.0,0.0,0.019,0.0,0.021,0.40,0.67,0.36,1.0,1.0,1.0
LVNV FUNDING LLC,26,19,7,0.13,0.26,0.057,0,0,0,0.0,0.0,0.0,0.12,0.11,0.14,0.35,0.37,0.29,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,22,8,14,0.11,0.11,0.11,0,0,0,0.0,0.0,0.0,0.14,0.13,0.14,0.36,0.38,0.36,0.95,0.88,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,11,1,10,0.056,0.014,0.082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.0,0.30,1.0,1.0,1.0
MIDLAND FUNDING LLC,11,4,7,0.056,0.054,0.057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.25,0.29,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCAITES LLC,8,6,2,0.041,0.081,0.016,0,0,0,0.0,0.0,0.0,0.13,0.0,0.50,0.63,0.83,0.0,1.0,1.0,1.0
CITIBANK NA,8,4,4,0.041,0.054,0.033,0,0,0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0
CAPITAL ONE BANK (USA) NA,6,5,1,0.031,0.068,0.0082,0,0,0,0.0,0.0,0.0,0.17,0.20,0.0,0.0,0.0,0.0,0.50,0.40,1.0
CAVALRY SPV I LLC,4,3,1,0.020,0.041,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.33,0.0,1.0,1.0,1.0
JPMORGAN CHASE BANK NA,3,3,0,0.015,0.041,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CARDINAL LOANS LLC,2,0,2,0.010,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
WAKEFIELD & ASSOCIATES INC,2,1,1,0.010,0.014,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,2,0,2,0.010,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LOHMAN PRODUCERS EXCHANGE,2,0,2,0.010,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
THE CENTRAL TRUST BANK,2,1,1,0.010,0.014,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CONSUMER COLLECTION MANAGEMENT AS ASSIGNEE OF CRMC,2,0,2,0.010,0.0,0.016,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BANK OF AMERICA NA,2,2,0,0.010,0.027,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
RECTAL DIAGNOSTIC AND TREATMENT CENTER INC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MM FINANCE A NEBRASKA LLC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITAL REGIONAL MEDICAL CENTER,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TD BANK USA NA,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CARROL COUNTY MEMORIAL HOSPITAL,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WOMEN'S WELLNESS CENTER INC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MOBERLY HOSPITAL COMPANY LLC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CROWN ASSETT MANAGEMENT LLC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ACCOUNT RESOLUTION CORPORATION,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JP MORGAN CHASE BANK NA,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CRMC D/B/A CRPACRMC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITAL REGION MEDICAL CENTER DBA CAPITAL REGION PHYSICIANS-,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
S&K ROOFING INC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MISSOURI CENTER FOR REPRODUCTIVE MEDICINE LLC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CENTERPOINTE HOSPITAL OF COLUMBIA LLC,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
MCKNIGHT TIRE & AUTO CENTER INC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CASH LINK USA LLC,1,0,1,0.0051,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ST LUKE'S HOSPITAL,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CREDIT BUREAU OF COLUMBIA INC,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
EASY CASH ASAP LLC,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
REDSTONE FEDERAL CREDIT UNION A CREDIT UNION,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CREDIT CORP SOLUTIONS INC A CORPORATION,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
FOURSIGHT CAPITAL LLC,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
COURTESY LOANS OF MISSOURI INC,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
WORLD ACCEPTANCE CORP,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
FREEMAN HEALTH SYSTEM,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREEMAN HEALTH SYSTEM PETITIONER,1,1,0,0.0051,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
