collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,54,7,47,0.21,0.20,0.22,0,0,0,0.0,0.0,0.0,0.037,0.0,0.043,0.33,0.29,0.34,0.94,0.57,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,53,6,47,0.21,0.17,0.22,0,0,0,0.0,0.0,0.0,0.038,0.0,0.043,0.15,0.17,0.15,0.98,1.0,0.98
MIDLAND CREDIT MANAGEMENT INC,40,10,30,0.16,0.29,0.14,0,0,0,0.0,0.0,0.0,0.025,0.10,0.0,0.25,0.20,0.27,0.93,0.70,1.0
MIDLAND FUNDING LLC,13,0,13,0.052,0.0,0.060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,1.0,0.0,1.0
CAVALRY SPV I LLC,12,3,9,0.048,0.086,0.041,0,0,0,0.0,0.0,0.0,0.42,0.33,0.44,0.17,0.0,0.22,0.92,1.0,0.89
WAKEFIELD & ASSOCIATES INC,11,0,11,0.044,0.0,0.051,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,1.0,0.0,1.0
CITIBANK NA,9,2,7,0.036,0.057,0.032,0,0,0,0.0,0.0,0.0,0.11,0.0,0.14,0.22,0.0,0.29,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,6,0,6,0.024,0.0,0.028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,1.0,0.0,1.0
BANK OF AMERICA NA,6,0,6,0.024,0.0,0.028,0,0,0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.17,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,4,0,4,0.016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,4,1,3,0.016,0.029,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0
FREEMAN HEALTH SYSTEM,3,0,3,0.012,0.0,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67
PORTFOLIO RECOVERY,3,0,3,0.012,0.0,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
