collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,68,17,51,0.20,0.33,0.18,0,0,0,0.0,0.0,0.0,0.059,0.059,0.059,0.35,0.18,0.41,0.93,0.88,0.94
MIDLAND CREDIT MANAGEMENT INC,43,2,41,0.13,0.039,0.14,0,0,0,0.0,0.0,0.0,0.023,0.0,0.024,0.56,1.0,0.54,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,37,2,35,0.11,0.039,0.12,0,0,0,0.0,0.0,0.0,0.054,0.0,0.057,0.41,0.50,0.40,1.0,1.0,1.0
PROFESSIONAL CREDIT MANAGEMENT INC,25,1,24,0.073,0.020,0.083,0,0,0,0.0,0.0,0.0,0.040,0.0,0.042,0.24,0.0,0.25,1.0,1.0,1.0
CAVALRY SPV I LLC,18,3,15,0.053,0.059,0.052,0,0,0,0.0,0.0,0.0,0.056,0.0,0.067,0.39,0.33,0.40,0.89,0.67,0.93
HEIGHTS FINANCE CORPORATION,18,0,18,0.053,0.0,0.062,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,1.0,0.0,1.0
MIDLAND FUNDING LLC,15,0,15,0.044,0.0,0.052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.87,0.0,0.87
JEFFERSON CAPITAL SYSTEMS LLC,10,6,4,0.029,0.12,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.33,0.25,1.0,1.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,9,0,9,0.026,0.0,0.031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
CITIBANK NA,8,1,7,0.023,0.020,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.43,1.0,1.0,1.0
BANK OF AMERICA ST LOUIS,8,0,8,0.023,0.0,0.028,0,0,0,0.0,0.0,0.0,0.13,0.0,0.13,0.25,0.0,0.25,0.75,0.0,0.75
CAPITAL ONE BANK (USA) NA,6,1,5,0.018,0.020,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.40,1.0,1.0,1.0
