collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,151,77,74,0.14,0.15,0.13,0,0,0,0.0,0.0,0.0,0.079,0.078,0.081,0.44,0.40,0.49,0.90,0.90,0.91
MIDLAND CREDIT MANAGEMENT INC,119,46,73,0.11,0.091,0.13,0,0,0,0.0,0.0,0.0,0.11,0.11,0.11,0.45,0.43,0.45,0.83,0.76,0.88
PORTFOLIO RECOVERY ASSOCIATES LLC,101,30,71,0.095,0.060,0.13,0,0,0,0.0,0.0,0.0,0.089,0.033,0.11,0.25,0.23,0.25,0.94,0.87,0.97
LVNV FUNDING,101,64,37,0.095,0.13,0.066,0,0,0,0.0,0.0,0.0,0.050,0.031,0.081,0.46,0.44,0.49,0.90,0.84,1.0
MADISON MEDICAL CENTER,68,11,57,0.064,0.022,0.10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.45,0.26,0.97,1.0,0.96
CAPITAL ONE BANK (USA) NA,52,37,15,0.049,0.074,0.027,0,0,0,0.0,0.0,0.0,0.096,0.11,0.067,0.25,0.27,0.20,0.83,0.89,0.67
CAVALRY SPV I LLC,50,20,30,0.047,0.040,0.054,0,0,0,0.0,0.0,0.0,0.14,0.0,0.23,0.18,0.15,0.20,0.90,0.85,0.93
MIDLAND FUNDING LLC,47,8,39,0.044,0.016,0.070,0,0,0,0.0,0.0,0.0,0.043,0.0,0.051,0.38,0.38,0.38,0.85,0.75,0.87
JEFFERSON CAPITAL SYSTEMS LLC,29,20,9,0.027,0.040,0.016,0,0,0,0.0,0.0,0.0,0.10,0.10,0.11,0.52,0.55,0.44,0.76,0.80,0.67
CITIBANK NA,26,14,12,0.024,0.028,0.021,0,0,0,0.0,0.0,0.0,0.15,0.14,0.17,0.27,0.29,0.25,0.88,0.93,0.83
PORTFOLIO RECOVERY,19,3,16,0.018,0.0060,0.029,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.56,1.0,1.0,1.0
MIDLAND CREDIT MANAG,17,17,0,0.016,0.034,0.0,0,0,0,0.0,0.0,0.0,0.24,0.24,0.0,0.29,0.29,0.0,0.47,0.47,0.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,15,6,9,0.014,0.012,0.016,0,0,0,0.0,0.0,0.0,0.13,0.33,0.0,0.13,0.0,0.22,0.93,0.83,1.0
BANK OF AMERICA N A,14,14,0,0.013,0.028,0.0,0,0,0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,0.21,0.0,0.93,0.93,0.0
ONEMAIN FINANCIAL GROUP LLC,12,6,6,0.011,0.012,0.011,0,0,0,0.0,0.0,0.0,0.17,0.17,0.17,0.33,0.33,0.33,0.92,0.83,1.0
JP MORGAN CHASE BANK NA - CHICAGO,12,7,5,0.011,0.014,0.0089,0,0,0,0.0,0.0,0.0,0.42,0.29,0.60,0.17,0.29,0.0,0.67,0.86,0.40
MIDLAND CREDIT MANAGEMENT INC - ST LOUIS,11,4,7,0.010,0.0080,0.013,0,0,0,0.0,0.0,0.0,0.18,0.25,0.14,0.45,0.50,0.43,0.91,0.75,1.0
MIDLAND CREDIT MANAGEMENT INC A CORPORATION,10,9,1,0.0094,0.018,0.0018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.33,0.0,0.80,0.78,1.0
WASHINGTON UNIVERSITY PHYSICIANS,9,9,0,0.0085,0.018,0.0,0,0,0,0.0,0.0,0.0,0.11,0.11,0.0,0.22,0.22,0.0,0.78,0.78,0.0
