collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,354,246,108,0.12,0.14,0.088,313095,187848,125248,0.045,0.059,0.034,0.028,0.028,0.028,0.0,0.0,0.0,0.68,0.54,0.98
MIDLAND CREDIT MANAGEMENT INC,353,203,150,0.12,0.12,0.12,487314,201570,285744,0.070,0.063,0.077,0.023,0.0049,0.047,0.0,0.0,0.0,0.61,0.41,0.89
PORTFOLIO RECOVERY ASSOCIATES LLC,303,138,165,0.10,0.079,0.13,399809,132881,266927,0.058,0.041,0.072,0.020,0.0072,0.030,0.0,0.0,0.0,0.62,0.39,0.81
CAPITAL ONE BANK (USA) NA,153,113,40,0.051,0.065,0.033,365776,259851,105925,0.053,0.081,0.029,0.039,0.044,0.025,0.0,0.0,0.0,0.69,0.58,1.0
DISCOVER BANK,143,108,35,0.048,0.062,0.028,351258,256808,94450,0.051,0.080,0.025,0.15,0.16,0.14,0.0,0.0,0.0,0.53,0.43,0.86
JEFFERSON CAPITAL SYSTEMS LLC,107,40,67,0.036,0.023,0.055,155141,26555,128586,0.022,0.0083,0.035,0.037,0.025,0.045,0.0,0.0,0.0,0.66,0.38,0.84
PURDUE FEDERAL CREDIT UNION,96,61,35,0.032,0.035,0.028,479479,150569,328910,0.069,0.047,0.089,0.031,0.049,0.0,0.0,0.0,0.0,0.60,0.43,0.91
ONEMAIN FINANCIAL GROUP LLC,78,53,25,0.026,0.030,0.020,408970,213821,195149,0.059,0.067,0.053,0.013,0.019,0.0,0.0,0.0,0.0,0.59,0.42,0.96
CROWN ASSET MANAGEMENT LLC,73,40,33,0.025,0.023,0.027,122278,33113,89165,0.018,0.010,0.024,0.11,0.13,0.091,0.0,0.0,0.0,0.81,0.65,1.0
CAVALRY SPV I LLC,72,47,25,0.024,0.027,0.020,82758,34348,48409,0.012,0.011,0.013,0.097,0.043,0.20,0.0,0.0,0.0,0.58,0.40,0.92
CITIBANK NA,62,38,24,0.021,0.022,0.020,160070,50658,109412,0.023,0.016,0.029,0.18,0.11,0.29,0.0,0.0,0.0,0.63,0.45,0.92
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,59,21,38,0.020,0.012,0.031,155856,52677,103180,0.023,0.016,0.028,0.034,0.0,0.053,0.0,0.0,0.0,0.83,0.67,0.92
