collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midland credit management inc,25,6,19,18.7%,22.2%,17.8%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,36.0%,0.0%,47.4%,92.0%,83.3%,94.7%
wakefield & associates inc,23,8,15,17.2%,29.6%,14.0%,0,0,0,0%,0%,0%,4.3%,0.0%,6.7%,21.7%,37.5%,13.3%,100.0%,100.0%,100.0%
lvnv funding llc,21,3,18,15.7%,11.1%,16.8%,0,0,0,0%,0%,0%,9.5%,0.0%,11.1%,42.9%,66.7%,38.9%,95.2%,66.7%,100.0%
portfolio recovery associates llc,18,2,16,13.4%,7.4%,15.0%,0,0,0,0%,0%,0%,16.7%,50.0%,12.5%,27.8%,0.0%,31.3%,100.0%,100.0%,100.0%
midland funding llc,5,1,4,3.7%,3.7%,3.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,60.0%,0.0%,75.0%,100.0%,100.0%,100.0%
cavalry spv i llc,5,1,4,3.7%,3.7%,3.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,20.0%,100.0%,0.0%,100.0%,100.0%,100.0%
second round sub llc,3,0,3,2.2%,0.0%,2.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,66.7%,0%,66.7%,100.0%,0%,100.0%
capital one bank (usa) na,3,1,2,2.2%,3.7%,1.9%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%,100.0%,100.0%,100.0%
salem memorial district hospital,3,0,3,2.2%,0.0%,2.8%,0,0,0,0%,0%,0%,33.3%,0%,33.3%,0.0%,0%,0.0%,100.0%,0%,100.0%
ncb management services inc,2,0,2,1.5%,0.0%,1.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
absolute resolutions investments llc,2,0,2,1.5%,0.0%,1.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
jp morgan chase bank na,2,0,2,1.5%,0.0%,1.9%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
velocity investments llc,2,0,2,1.5%,0.0%,1.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
city of winona,1,0,1,0.7%,0.0%,0.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
portfolio recovery assoc.,1,0,1,0.7%,0.0%,0.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
consumer adjustment company inc,1,0,1,0.7%,0.0%,0.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
capitol one bank (usa) na,1,0,1,0.7%,0.0%,0.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
poplar bluff regional medical center,1,0,1,0.7%,0.0%,0.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cach llc a limited liability company,1,0,1,0.7%,0.0%,0.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
