collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,706,345,361,29.7%,42.3%,23.1%,54736,0,54736,20.3%,0%,20.3%,2.0%,3.2%,0.8%,58.8%,50.1%,67.0%,95.9%,92.5%,99.2%
portfolio recovery associates llc,404,55,349,17.0%,6.7%,22.3%,64695,0,64695,24.0%,0%,24.0%,2.2%,5.5%,1.7%,66.8%,38.2%,71.3%,98.5%,89.1%,100.0%
midland funding llc,279,2,277,11.7%,0.2%,17.7%,20559,0,20559,7.6%,0%,7.6%,1.1%,50.0%,0.7%,71.3%,0.0%,71.8%,100.0%,100.0%,100.0%
cavalry spv i llc,219,75,144,9.2%,9.2%,9.2%,23783,0,23783,8.8%,0%,8.8%,11.4%,30.7%,1.4%,56.6%,40.0%,65.3%,91.8%,76.0%,100.0%
midland credit management inc,209,149,60,8.8%,18.3%,3.8%,25091,0,25091,9.3%,0%,9.3%,1.0%,1.3%,0.0%,62.2%,63.8%,58.3%,96.2%,94.6%,100.0%
jefferson capital systems llc,141,26,115,5.9%,3.2%,7.3%,20253,0,20253,7.5%,0%,7.5%,0.0%,0.0%,0.0%,67.4%,69.2%,67.0%,99.3%,96.2%,100.0%
crown asset management llc,52,41,11,2.2%,5.0%,0.7%,0,0,0,0.0%,0%,0.0%,50.0%,53.7%,36.4%,30.8%,29.3%,36.4%,86.5%,82.9%,100.0%
unifund corporation,34,1,33,1.4%,0.1%,2.1%,15266,0,15266,5.7%,0%,5.7%,2.9%,0.0%,3.0%,85.3%,100.0%,84.8%,100.0%,100.0%,100.0%
credit management corporation,34,16,18,1.4%,2.0%,1.1%,0,0,0,0.0%,0%,0.0%,2.9%,6.3%,0.0%,67.6%,56.3%,77.8%,94.1%,87.5%,100.0%
second round sub llc assignee of comenity bank,27,1,26,1.1%,0.1%,1.7%,4915,0,4915,1.8%,0%,1.8%,3.7%,0.0%,3.8%,48.1%,0.0%,50.0%,100.0%,100.0%,100.0%
absolute resolutions investments llc,22,3,19,0.9%,0.4%,1.2%,0,0,0,0.0%,0%,0.0%,13.6%,33.3%,10.5%,72.7%,66.7%,73.7%,100.0%,100.0%,100.0%
dnf associates llc,21,21,0,0.9%,2.6%,0.0%,0,0,0,0.0%,0%,0.0%,9.5%,9.5%,0%,66.7%,66.7%,0%,90.5%,90.5%,0%
unifund corp.,19,6,13,0.8%,0.7%,0.8%,10479,0,10479,3.9%,0%,3.9%,0.0%,0.0%,0.0%,78.9%,100.0%,69.2%,100.0%,100.0%,100.0%
credit corp solutions inc assignee of synchrony bank,16,0,16,0.7%,0.0%,1.0%,5291,0,5291,2.0%,0%,2.0%,0.0%,0%,0.0%,56.3%,0%,56.3%,100.0%,0%,100.0%
laurel wreath acquisitions llc,12,2,10,0.5%,0.2%,0.6%,11001,0,11001,4.1%,0%,4.1%,0.0%,0.0%,0.0%,75.0%,100.0%,70.0%,100.0%,100.0%,100.0%
credit corp solutions inc,12,9,3,0.5%,1.1%,0.2%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,91.7%,88.9%,100.0%,100.0%,100.0%,100.0%
crown asset management llc assignee of synchrony bank,11,2,9,0.5%,0.2%,0.6%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,63.6%,100.0%,55.6%,100.0%,100.0%,100.0%
crown asset management llc assignee of comenity bank,10,1,9,0.4%,0.1%,0.6%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,66.7%,100.0%,100.0%,100.0%
