collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
PORTFOLIO RECOVERY ASSOCIATES LLC,19,6,13,0.13,0.072,0.19,40194,14543,25651,0.079,0.16,0.062,0.053,0.0,0.077,0.0,0.0,0.0,0.84,0.50,1.0
LVNV FUNDING LLC,19,15,4,0.13,0.18,0.060,13633,11209,2424,0.027,0.12,0.0058,0.053,0.067,0.0,0.0,0.0,0.0,0.58,0.47,1.0
MIDLAND CREDIT MANAGEMENT INC,14,9,5,0.093,0.11,0.075,10359,2954,7405,0.020,0.032,0.018,0.071,0.11,0.0,0.0,0.0,0.0,0.57,0.33,1.0
JEFFERSON CAPITAL SYSTEMS LLC,9,4,5,0.060,0.048,0.075,6677,0,6677,0.013,0.0,0.016,0.11,0.0,0.20,0.0,0.0,0.0,0.56,0.25,0.80
DISCOVER BANK,8,6,2,0.053,0.072,0.030,16243,0,16243,0.032,0.0,0.039,0.25,0.17,0.50,0.0,0.0,0.0,0.50,0.33,1.0
CROWN ASSET MANAGEMENT LLC,7,4,3,0.047,0.048,0.045,9003,5364,3639,0.018,0.058,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CAPITAL ONE BANK (USA) NA,7,6,1,0.047,0.072,0.015,16048,0,16048,0.032,0.0,0.039,0.29,0.33,0.0,0.0,0.0,0.0,0.43,0.33,1.0
CAVALRY SPV I LLC,5,3,2,0.033,0.036,0.030,31101,13489,17612,0.061,0.15,0.042,0.40,0.67,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ONEMAIN FINANCIAL GROUP LLC,5,3,2,0.033,0.036,0.030,44974,31409,13566,0.088,0.34,0.033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BANK OF AMERICA NA,4,2,2,0.027,0.024,0.030,18162,0,18162,0.036,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
CREDIT ACCEPTANCE CORP.,3,2,1,0.020,0.024,0.015,3689,0,3689,0.0073,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
MIDLAND FUNDING LLC,3,1,2,0.020,0.012,0.030,8418,0,8418,0.017,0.0,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0
FIRST FINANCIAL BANK NA,3,3,0,0.020,0.036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYRIDER FINANCE LLC D/B/A CNAC,3,3,0,0.020,0.036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAFAYETTE EMERGENCY CARE PC,2,1,1,0.013,0.012,0.015,2831,987,1844,0.0056,0.011,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,2,1,1,0.013,0.012,0.015,5948,0,5948,0.012,0.0,0.014,0.50,1.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,2,0,2,0.013,0.0,0.030,15298,0,15298,0.030,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
UNIFUND CCR LLC,2,0,2,0.013,0.0,0.030,8379,0,8379,0.016,0.0,0.020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SECOND ROUND SUB LLC,2,1,1,0.013,0.012,0.015,3009,1635,1374,0.0059,0.018,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DNF ASSOCIATES LLC,2,2,0,0.013,0.024,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT ACCEPTANCE CORPORATION,2,2,0,0.013,0.024,0.0,9408,9408,0,0.018,0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
AMERICAN EXPRESS NATIONAL BANK,2,2,0,0.013,0.024,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBC VENTURES LLC,1,0,1,0.0067,0.0,0.015,61339,0,61339,0.12,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,1,0,1,0.0067,0.0,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MLO ACQUISTIONS LLC,1,0,1,0.0067,0.0,0.015,7750,0,7750,0.015,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NATIONAL COLLEGIATE STUDENT LOAN TRUST 2006-3,1,0,1,0.0067,0.0,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NATIONAL COLLEGIATE STUDENT LOAN TRUST 2006-1,1,0,1,0.0067,0.0,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
