collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,42,32,10,13.5%,18.9%,7.1%,13542,10718,2825,1.7%,3.5%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,35.7%,40.6%,20.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,29,12,17,9.4%,7.1%,12.1%,27462,13280,14182,3.5%,4.4%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.1%,58.3%,64.7%
MIDLAND CREDIT MANAGEMENT INC,24,13,11,7.7%,7.7%,7.8%,16326,3990,12336,2.1%,1.3%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,45.8%,23.1%,72.7%
PROFESSIONAL & BUSINESS COLLECTIONS LLC,21,14,7,6.8%,8.3%,5.0%,153787,40891,112896,19.6%,13.5%,23.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.9%,42.9%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,17,4,13,5.5%,2.4%,9.2%,20472,3945,16527,2.6%,1.3%,3.4%,5.9%,25.0%,0.0%,0.0%,0.0%,0.0%,64.7%,100.0%,53.8%
DISCOVER BANK,16,13,3,5.2%,7.7%,2.1%,72911,66616,6295,9.3%,22.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,53.8%,33.3%
CAPITAL ONE BANK (USA) NA,16,9,7,5.2%,5.3%,5.0%,25279,15917,9362,3.2%,5.2%,1.9%,6.3%,0.0%,14.3%,0.0%,0.0%,0.0%,56.3%,66.7%,42.9%
HOOSIER ACCOUNTS SERVICE,13,3,10,4.2%,1.8%,7.1%,123064,0,123064,15.7%,0.0%,25.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.5%,0.0%,50.0%
CROWN ASSET MANAGEMENT LLC,9,5,4,2.9%,3.0%,2.8%,3576,856,2720,0.5%,0.3%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,55.6%,20.0%,100.0%
ONEMAIN FINANCIAL GROUP LLC,9,5,4,2.9%,3.0%,2.8%,37638,22482,15156,4.8%,7.4%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,55.6%,60.0%,50.0%
