collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,221,141,80,0.14,0.18,0.11,54467,34383,20084,0.024,0.041,0.014,0.25,0.38,0.025,0.0,0.0,0.0,0.27,0.23,0.33
MIDLAND CREDIT MANAGEMENT INC,170,78,92,0.11,0.099,0.12,118338,26165,92173,0.051,0.031,0.062,0.12,0.26,0.011,0.0,0.0,0.0,0.31,0.17,0.43
PORTFOLIO RECOVERY ASSOCIATES LLC,136,46,90,0.088,0.058,0.12,140919,21271,119648,0.061,0.026,0.081,0.17,0.48,0.011,0.0,0.0,0.0,0.51,0.30,0.61
CAPITAL ONE BANK (USA) NA,99,81,18,0.064,0.10,0.024,102291,86021,16270,0.044,0.10,0.011,0.44,0.54,0.0,0.0,0.0,0.0,0.30,0.30,0.33
DISCOVER BANK,88,59,29,0.057,0.075,0.039,207403,87361,120042,0.090,0.10,0.081,0.28,0.39,0.069,0.0,0.0,0.0,0.35,0.29,0.48
JEFFERSON CAPITAL SYSTEMS LLC,62,19,43,0.040,0.024,0.058,36819,3219,33600,0.016,0.0039,0.023,0.15,0.42,0.023,0.0,0.0,0.0,0.34,0.16,0.42
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,35,16,19,0.023,0.020,0.025,74921,23331,51590,0.032,0.028,0.035,0.26,0.56,0.0,0.0,0.0,0.0,0.37,0.19,0.53
BANK OF AMERICA NA,35,18,17,0.023,0.023,0.023,146404,57656,88748,0.063,0.069,0.060,0.37,0.44,0.29,0.0,0.0,0.0,0.54,0.50,0.59
CROWN ASSET MANAGEMENT LLC,34,16,18,0.022,0.020,0.024,38634,22456,16178,0.017,0.027,0.011,0.29,0.56,0.056,0.0,0.0,0.0,0.56,0.44,0.67
ONEMAIN FINANCIAL GROUP LLC,32,14,18,0.021,0.018,0.024,161066,64795,96271,0.070,0.078,0.065,0.13,0.29,0.0,0.0,0.0,0.0,0.25,0.21,0.28
UNIFUND CCR LLC,30,3,27,0.020,0.0038,0.036,32092,0,32092,0.014,0.0,0.022,0.033,0.33,0.0,0.0,0.0,0.0,0.40,0.0,0.44
